,Close_NVDA,High_NVDA,Low_NVDA,Open_NVDA,Volume_NVDA,MA10_,MA50_,EMA10_,EMA50_,RSI_,BB_upper_,BB_lower_,BB_middle_,ATR_,NVDA_Close,AMD_Close,INTC_Close,^GSPC_Close,^IXIC_Close,GDP,Interest_Rate,Close_diff_NVDA,Log_Close_NVDA,Log_Volume_NVDA,Lag_Close_1,Lag_Close_3,Lag_Close_7,Lag_Volume_1,Lag_Volume_3,Lag_Volume_7
2022-10-14,11.214940071105955,12.097990293431844,11.191965014212547,12.044048399893033,713432000.0,12.190589809417723,14.625186405181886,11.978349095003496,13.994157949547192,32.98331076545944,13.686500545063256,11.153684906444312,12.420092725753785,0.712401221593689,11.214940071105955,55.93999862670898,24.65149307250977,3583.070068359375,10321.3896484375,26734.277,3.08,-0.732211112976076,2.4172468243204404,20.385597685504052,11.947151184082031,11.573554039001465,12.063026428222656,850103000.0,667482000.0,672478000.0
2022-10-15,11.87522792816162,11.935163887669312,11.504627166759075,11.505625543705175,580774000.0,12.128256797790527,14.483431587219238,11.959599791941336,13.911062654590896,40.879123633974565,13.55432737420526,11.136618537202212,12.345472955703736,0.7129599783772366,11.875228881835938,57.959999084472656,25.136720657348636,3677.949951171875,10675.7998046875,26734.277,3.08,0.6602878570556641,2.4744545436869556,20.17987225463262,11.214940071105955,11.487645149230955,11.657463073730469,713432000.0,492590000.0,698699000.0
2022-10-16,11.87522792816162,11.935163887669312,11.504627166759075,11.505625543705175,580774000.0,12.128256797790527,14.483431587219238,11.959599791941336,13.911062654590896,40.879123633974565,13.55432737420526,11.136618537202212,12.345472955703736,0.7129599783772366,11.875228881835938,57.959999084472656,25.136720657348636,3677.949951171875,10675.7998046875,26734.277,3.08,0.0,2.4744545436869556,20.17987225463262,11.87522792816162,11.947151184082031,11.657463073730469,580774000.0,850103000.0,698699000.0
2022-10-17,11.87522792816162,11.935163887669312,11.504627166759075,11.505625543705175,580774000.0,12.128256797790527,14.483431587219238,11.959599791941336,13.911062654590896,40.879123633974565,13.55432737420526,11.136618537202212,12.345472955703736,0.7129599783772366,11.875228881835938,57.959999084472656,25.136720657348636,3677.949951171875,10675.7998046875,26734.277,3.08,0.0,2.4744545436869556,20.17987225463262,11.87522792816162,11.214940071105955,11.657463073730469,580774000.0,713432000.0,698699000.0
2022-10-18,11.954143524169922,12.478579120897942,11.605518487513544,12.330738357702486,659362000.0,12.008385562896729,14.36714241027832,11.958607743255625,13.83432072790772,41.76226968775074,13.444432096011123,11.125743742459337,12.28508791923523,0.7243957394491767,11.954145431518556,57.91999816894531,24.613439559936523,3719.97998046875,10772.400390625,26734.277,3.08,0.07891559600830256,2.4810779567019057,20.30678325879454,11.87522792816162,11.87522792816162,11.573554039001465,580774000.0,580774000.0,667482000.0
2022-10-19,12.038052558898926,12.336732065245936,11.821285686867334,11.866237416989302,523131000.0,11.892709922790528,14.266651973724365,11.973052255190767,13.763878838926985,42.74167149939072,13.300159678098945,11.149146142366146,12.224652910232544,0.7094707850869927,12.038053512573242,57.22999954223633,24.73712158203125,3695.159912109375,10680.509765625,26734.277,3.08,0.0839090347290039,2.488072679198364,20.07534246867629,11.954143524169922,11.87522792816162,11.487645149230955,659362000.0,580774000.0,492590000.0
2022-10-20,12.180899620056152,12.755281678279877,12.091994536055378,12.099986314694126,652398000.0,11.799210357666016,14.148826179504397,12.010842685166292,13.701801222500675,44.45426559910557,13.271642623497796,11.141002525733162,12.20632257461548,0.7100249518222752,12.180900573730469,57.77000045776367,24.813236236572266,3665.780029296875,10614.83984375,26734.277,3.08,0.14284706115722656,2.499869119985743,20.29616536310251,12.038052558898926,11.87522792816162,11.947151184082031,523131000.0,580774000.0,850103000.0
2022-10-21,12.452607154846191,12.484573317773556,11.874229665134491,12.085002473404986,609494000.0,11.83816843032837,14.039530353546144,12.091163497835364,13.65281321984756,47.66095312787885,13.26658685443956,11.14106352092665,12.203825187683105,0.7029048590234745,12.452608108520508,58.81999969482422,25.66000747680664,3752.75,10859.7197265625,26734.277,3.08,0.27170753479003906,2.521930011015304,20.22813966270261,12.180899620056152,11.954143524169922,11.214940071105955,652398000.0,659362000.0,713432000.0
2022-10-22,12.585464477539062,12.696345287738325,12.051039397189356,12.4945626379864,517457000.0,11.93096857070923,13.917572650909424,12.181036403236035,13.610956406423698,49.20512046530172,13.29808495196465,11.146625684174264,12.222355318069456,0.698790646989581,12.585464477539062,58.70000076293945,25.859806060791016,3797.340087890625,10952.6103515625,26734.277,3.08,0.1328573226928711,2.5325425351401583,20.064436987864045,12.452607154846191,12.038052558898926,11.87522792816162,609494000.0,523131000.0,580774000.0
2022-10-23,12.585464477539062,12.696345287738325,12.051039397189356,12.4945626379864,517457000.0,11.93096857070923,13.917572650909424,12.181036403236035,13.610956406423698,49.20512046530172,13.29808495196465,11.146625684174264,12.222355318069456,0.698790646989581,12.585464477539062,58.70000076293945,25.859806060791016,3797.340087890625,10952.6103515625,26734.277,3.08,0.0,2.5325425351401583,20.064436987864045,12.585464477539062,12.180899620056152,11.87522792816162,517457000.0,652398000.0,580774000.0
